Gene,Gene name,Tissue,nTPM
ENSG00000148848,ADAM12,epididymis,0.0
ENSG00000148848,ADAM12,esophagus,0.3
ENSG00000148848,ADAM12,fallopian tube,0.2
ENSG00000148848,ADAM12,gallbladder,9.0
ENSG00000148848,ADAM12,heart muscle,0.6
ENSG00000148848,ADAM12,hippocampal formation,0.6
ENSG00000148848,ADAM12,hypothalamus,0.7
ENSG00000148848,ADAM12,kidney,1.0
ENSG00000148848,ADAM12,liver,0.2
ENSG00000148848,ADAM12,lung,1.0
ENSG00000148848,ADAM12,lymph node,2.7
ENSG00000148848,ADAM12,midbrain,0.7
ENSG00000148848,ADAM12,ovary,6.6
ENSG00000148848,ADAM12,pancreas,0.5
ENSG00000148848,ADAM12,parathyroid gland,0.1
ENSG00000148848,ADAM12,pituitary gland,1.0
ENSG00000148848,ADAM12,placenta,130.4
ENSG00000148848,ADAM12,prostate,0.3
ENSG00000148848,ADAM12,rectum,0.5
ENSG00000148848,ADAM12,retina,0.2
ENSG00000148848,ADAM12,salivary gland,0.9
ENSG00000148848,ADAM12,seminal vesicle,0.0
ENSG00000148848,ADAM12,skeletal muscle,0.1
ENSG00000148848,ADAM12,skin,0.4
ENSG00000148848,ADAM12,small intestine,0.5
ENSG00000148848,ADAM12,smooth muscle,3.1
ENSG00000148848,ADAM12,spinal cord,0.6
ENSG00000148848,ADAM12,spleen,1.3
ENSG00000148848,ADAM12,stomach,0.4
ENSG00000148848,ADAM12,testis,0.7
ENSG00000148848,ADAM12,thymus,1.4
ENSG00000148848,ADAM12,thyroid gland,0.3
ENSG00000148848,ADAM12,tongue,0.0
ENSG00000148848,ADAM12,tonsil,2.7
ENSG00000148848,ADAM12,urinary bladder,8.6
ENSG00000148848,ADAM12,vagina,0.5
ENSG00000170965,PLAC1,adipose tissue,0.0
ENSG00000170965,PLAC1,adrenal gland,0.0
ENSG00000170965,PLAC1,amygdala,0.0
ENSG00000170965,PLAC1,appendix,0.0
ENSG00000170965,PLAC1,basal ganglia,0.0
ENSG00000170965,PLAC1,bone marrow,0.0
ENSG00000170965,PLAC1,breast,0.1
ENSG00000170965,PLAC1,cerebellum,0.0
ENSG00000170965,PLAC1,cerebral cortex,0.0
ENSG00000170965,PLAC1,cervix,0.0
ENSG00000170965,PLAC1,choroid plexus,0.0
ENSG00000170965,PLAC1,colon,0.0
ENSG00000170965,PLAC1,duodenum,0.0
ENSG00000170965,PLAC1,endometrium,0.1
ENSG00000170965,PLAC1,epididymis,0.0
ENSG00000170965,PLAC1,esophagus,0.0
ENSG00000170965,PLAC1,fallopian tube,0.2
ENSG00000170965,PLAC1,gallbladder,0.0
ENSG00000170965,PLAC1,heart muscle,0.0
ENSG00000170965,PLAC1,hippocampal formation,0.0
ENSG00000170965,PLAC1,hypothalamus,0.0
ENSG00000170965,PLAC1,kidney,0.0
ENSG00000170965,PLAC1,liver,0.0
ENSG00000170965,PLAC1,lung,0.0
ENSG00000170965,PLAC1,lymph node,0.0
ENSG00000170965,PLAC1,midbrain,0.0
ENSG00000170965,PLAC1,ovary,0.3
ENSG00000170965,PLAC1,pancreas,0.0
ENSG00000170965,PLAC1,parathyroid gland,0.0
ENSG00000170965,PLAC1,pituitary gland,0.0
ENSG00000170965,PLAC1,placenta,27.0
ENSG00000170965,PLAC1,prostate,0.0
ENSG00000170965,PLAC1,rectum,0.0
ENSG00000170965,PLAC1,retina,0.0
ENSG00000170965,PLAC1,salivary gland,0.0
ENSG00000170965,PLAC1,seminal vesicle,0.0
ENSG00000170965,PLAC1,skeletal muscle,0.1
ENSG00000170965,PLAC1,skin,0.2
ENSG00000170965,PLAC1,small intestine,0.0
ENSG00000170965,PLAC1,smooth muscle,0.1
ENSG00000170965,PLAC1,spinal cord,0.0
ENSG00000170965,PLAC1,spleen,0.0
ENSG00000170965,PLAC1,stomach,0.0
ENSG00000170965,PLAC1,testis,0.9
ENSG00000170965,PLAC1,thymus,0.0
ENSG00000170965,PLAC1,thyroid gland,0.0
ENSG00000170965,PLAC1,tongue,0.0
ENSG00000170965,PLAC1,tonsil,0.0
ENSG00000170965,PLAC1,urinary bladder,0.1
ENSG00000170965,PLAC1,vagina,0.0
ENSG00000177058,SLC38A9,adipose tissue,6.2
ENSG00000177058,SLC38A9,adrenal gland,4.7
ENSG00000177058,SLC38A9,amygdala,3.3
ENSG00000177058,SLC38A9,appendix,8.6
ENSG00000177058,SLC38A9,basal ganglia,3.7
ENSG00000177058,SLC38A9,bone marrow,7.0
ENSG00000177058,SLC38A9,breast,8.0
ENSG00000177058,SLC38A9,cerebellum,4.8
ENSG00000177058,SLC38A9,cerebral cortex,4.8
ENSG00000177058,SLC38A9,cervix,6.3
ENSG00000177058,SLC38A9,choroid plexus,2.9
ENSG00000177058,SLC38A9,colon,9.1
ENSG00000177058,SLC38A9,duodenum,7.8
ENSG00000177058,SLC38A9,endometrium,6.4
ENSG00000177058,SLC38A9,epididymis,6.5
ENSG00000177058,SLC38A9,esophagus,8.1
ENSG00000177058,SLC38A9,fallopian tube,4.8
ENSG00000177058,SLC38A9,gallbladder,8.0
ENSG00000177058,SLC38A9,heart muscle,3.7
ENSG00000177058,SLC38A9,hippocampal formation,3.8
ENSG00000177058,SLC38A9,hypothalamus,3.9
ENSG00000177058,SLC38A9,kidney,7.1
ENSG00000177058,SLC38A9,liver,16.1
ENSG00000177058,SLC38A9,lung,7.7
ENSG00000177058,SLC38A9,lymph node,10.9
ENSG00000177058,SLC38A9,midbrain,3.6
ENSG00000177058,SLC38A9,ovary,6.0
ENSG00000177058,SLC38A9,pancreas,11.8
ENSG00000177058,SLC38A9,parathyroid gland,10.3
ENSG00000177058,SLC38A9,pituitary gland,3.2
ENSG00000177058,SLC38A9,placenta,55.8
ENSG00000177058,SLC38A9,prostate,5.8
ENSG00000177058,SLC38A9,rectum,9.4
ENSG00000177058,SLC38A9,retina,9.6
ENSG00000177058,SLC38A9,salivary gland,6.2
ENSG00000177058,SLC38A9,seminal vesicle,5.8
ENSG00000177058,SLC38A9,skeletal muscle,4.2
ENSG00000177058,SLC38A9,skin,7.4
ENSG00000177058,SLC38A9,small intestine,6.4
ENSG00000177058,SLC38A9,smooth muscle,8.2
ENSG00000177058,SLC38A9,spinal cord,4.0
ENSG00000177058,SLC38A9,spleen,8.1
ENSG00000177058,SLC38A9,stomach,7.9
ENSG00000177058,SLC38A9,testis,18.7
ENSG00000177058,SLC38A9,thymus,8.6
ENSG00000177058,SLC38A9,thyroid gland,7.4
ENSG00000177058,SLC38A9,tongue,3.7
ENSG00000177058,SLC38A9,tonsil,14.1
ENSG00000177058,SLC38A9,urinary bladder,8.1
ENSG00000177058,SLC38A9,vagina,4.6
ENSG00000189052,CGB5,adipose tissue,0.0
ENSG00000189052,CGB5,adrenal gland,0.0
ENSG00000189052,CGB5,amygdala,0.0
ENSG00000189052,CGB5,appendix,0.0
ENSG00000189052,CGB5,basal ganglia,0.0
ENSG00000189052,CGB5,bone marrow,0.0
ENSG00000189052,CGB5,breast,0.0
ENSG00000189052,CGB5,cerebellum,0.0
ENSG00000189052,CGB5,cerebral cortex,0.0
ENSG00000189052,CGB5,cervix,0.0
ENSG00000189052,CGB5,choroid plexus,0.0
ENSG00000189052,CGB5,colon,0.0
ENSG00000189052,CGB5,duodenum,0.2
ENSG00000189052,CGB5,endometrium,0.0
ENSG00000189052,CGB5,epididymis,0.0
ENSG00000189052,CGB5,esophagus,0.3
ENSG00000189052,CGB5,fallopian tube,0.1
ENSG00000189052,CGB5,gallbladder,0.0
ENSG00000189052,CGB5,heart muscle,0.0
ENSG00000189052,CGB5,hippocampal formation,0.0
ENSG00000189052,CGB5,hypothalamus,0.0
ENSG00000189052,CGB5,kidney,0.0
ENSG00000189052,CGB5,liver,0.0
ENSG00000189052,CGB5,lung,0.1
ENSG00000189052,CGB5,lymph node,0.0
ENSG00000189052,CGB5,midbrain,0.0
ENSG00000189052,CGB5,ovary,0.0
ENSG00000189052,CGB5,pancreas,1.9
ENSG00000189052,CGB5,parathyroid gland,0.1
ENSG00000189052,CGB5,pituitary gland,8.4
ENSG00000189052,CGB5,placenta,24.9
ENSG00000189052,CGB5,prostate,0.4
ENSG00000189052,CGB5,rectum,0.0
ENSG00000189052,CGB5,retina,0.0
ENSG00000189052,CGB5,salivary gland,0.0
ENSG00000189052,CGB5,seminal vesicle,0.0
ENSG00000189052,CGB5,skeletal muscle,0.1
ENSG00000189052,CGB5,skin,0.4
ENSG00000189052,CGB5,small intestine,0.0
ENSG00000189052,CGB5,smooth muscle,0.1
ENSG00000189052,CGB5,spinal cord,0.0
ENSG00000189052,CGB5,spleen,0.1
ENSG00000189052,CGB5,stomach,0.1
ENSG00000189052,CGB5,testis,0.5
ENSG00000189052,CGB5,thymus,0.0
ENSG00000189052,CGB5,thyroid gland,0.0
ENSG00000189052,CGB5,tongue,0.0
ENSG00000189052,CGB5,tonsil,0.0
ENSG00000189052,CGB5,urinary bladder,0.0
ENSG00000189052,CGB5,vagina,0.2
