cancer_code,source_cohort,n_samples,source_matrix_version
STAD_MSI,TREEHOUSE_POLYA_25_01_TCGA_STAD_SUBTYPE,73,5.22.10
TGCT,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,154,5.22.10
THCA,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,512,5.22.10
THYM,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,119,5.22.10
T_ALL,TARGET_ALL_2018,264,5.22.10
UCEC,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,181,5.22.10
UCEC_CNH,TREEHOUSE_POLYA_25_01_TCGA_UCEC_SUBTYPE,85,5.22.10
UCEC_CNL,TREEHOUSE_POLYA_25_01_TCGA_UCEC_SUBTYPE,30,5.22.10
UCEC_MSI,TREEHOUSE_POLYA_25_01_TCGA_UCEC_SUBTYPE,41,5.22.10
UCEC_POLE,TREEHOUSE_POLYA_25_01_TCGA_UCEC_SUBTYPE,16,5.22.10
UCS,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,57,5.22.10
UVM,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,79,5.22.10
VSCC,SRP449588_VSCC_2024,9,5.22.12
WILMS,TARGET_WT_2015,125,5.22.10
cSCC,GSE125285_BCC_CSCC,10,5.22.10
