cancer_code,fusion_family,gene_5prime,gene_3prime,pmid,pubmed_title,publication_year,supports_fusion_or_alteration,supports_disease_context,reviewed_on
MM,NSD2-IGH,IGH,NSD2,PMID:12139740,A molecular study of the t(4;14) in multiple myeloma.,2002,true,true,2026-07-17
MM,FGFR3-IGH,IGH,FGFR3,PMID:12139740,A molecular study of the t(4;14) in multiple myeloma.,2002,true,true,2026-07-17
MM,MAF-IGH,IGH,MAF,PMID:9616139,Frequent dysregulation of the c-maf proto-oncogene at 16q23 by translocation to an Ig locus in multiple myeloma.,1998,true,true,2026-07-17
MM,CCND3-IGH,IGH,CCND3,PMID:42418658,Clinicopathologic characterization of plasma cell neoplasms with IGH::CCND3.,2026,true,true,2026-07-17
MM,MAFB-IGH,IGH,MAFB,PMID:15257707,The recurrent translocation t(14;20)(q32;q12) in multiple myeloma results in aberrant expression of MAFB: a molecular and genetic analysis of the chromosomal breakpoint.,2004,true,true,2026-07-17
NUTM,BRD4-NUTM1,BRD4,NUTM1,PMID:12543779,BRD4-NUT fusion oncogene: a novel mechanism in aggressive carcinoma.,2003,true,true,2026-07-17
NUTM,BRD3-NUTM1,BRD3,NUTM1,PMID:34672128,"BRD3-NUTM1-expressing NUT carcinoma of lung on endobronchial ultrasound-guided transbronchial needle aspiration cytology, a diagnostic pitfall.",2022,true,true,2026-07-17
NUTM,NSD3-NUTM1,NSD3,NUTM1,PMID:35325484,Cytological features of NUT-carcinoma harbouring an NSD3-NUTM1 fusion.,2022,true,true,2026-07-17
NUTM,ZNF532-NUTM1,ZNF532,NUTM1,PMID:34232599,Misleading Germ Cell Phenotype in Pulmonary NUT Carcinoma Harboring the ZNF532-NUTM1 Fusion.,2022,true,true,2026-07-17
ADCC,MYB-NFIB,MYB,NFIB,PMID:19841262,Recurrent fusion of MYB and NFIB transcription factor genes in carcinomas of the breast and head and neck.,2009,true,true,2026-07-17
ADCC,MYBL1-NFIB,MYBL1,NFIB,PMID:26851182,Adenoid Cystic Carcinoma Can Be Driven by MYB or MYBL1 Rearrangements: New Insights into MYB and Tumor Biology.,2016,true,true,2026-07-17
ACINIC,HTN3-MSANTD3,HTN3,MSANTD3,PMID:30520817,The HTN3-MSANTD3 Fusion Gene Defines a Subset of Acinic Cell Carcinoma of the Salivary Gland.,2019,true,true,2026-07-17
ACINIC,(none),,,PMID:30664630,Enhancer hijacking activates oncogenic transcription factor NR4A3 in acinic cell carcinomas of the salivary glands.,2019,true,true,2026-07-17
THCA,CCDC6-RET,CCDC6,RET,PMID:39212716,Clinicopathological Features of CCDC6-RET and NCOA4-RET Fusions in Thyroid Cancer: A Single-Center Retrospective Cohort Study in a Chinese Population.,2024,true,true,2026-07-17
THCA,NCOA4-RET,NCOA4,RET,PMID:39212716,Clinicopathological Features of CCDC6-RET and NCOA4-RET Fusions in Thyroid Cancer: A Single-Center Retrospective Cohort Study in a Chinese Population.,2024,true,true,2026-07-17
THCA,PAX8-PPARG,PAX8,PPARG,PMID:25069464,Pax-8-PPAR-γ fusion protein in thyroid carcinoma.,2014,true,true,2026-07-17
THCA,ETV6-NTRK3,ETV6,NTRK3,PMID:29046324,ETV6-NTRK3 and STRN-ALK kinase fusions are recurrent events in papillary thyroid cancer of adult population.,2018,true,true,2026-07-17
THCA,STRN-ALK,STRN,ALK,PMID:29046324,ETV6-NTRK3 and STRN-ALK kinase fusions are recurrent events in papillary thyroid cancer of adult population.,2018,true,true,2026-07-17
LUAD,EML4-ALK,EML4,ALK,PMID:17625570,Identification of the transforming EML4-ALK fusion gene in non-small-cell lung cancer.,2007,true,true,2026-07-17
LUAD,CD74-ROS1,CD74,ROS1,PMID:23877438,CD74-ROS1 fusion transcripts in resected non-small cell lung carcinoma.,2013,true,true,2026-07-17
LUAD,EZR-ROS1,EZR,ROS1,PMID:25230898,Response to crizotinib observed in metastatic mediastinum lymph node from a non-small cell lung cancer patient harboring EZR-ROS1 fusion.,2015,true,true,2026-07-17
LUAD,SLC34A2-ROS1,SLC34A2,ROS1,PMID:28860822,Response to crizotinib in a lung adenocarcinoma patient harboring a novel SLC34A2-ROS1 fusion variant.,2017,true,true,2026-07-17
LUAD,KIF5B-RET,KIF5B,RET,PMID:22327623,"RET, ROS1 and ALK fusions in lung cancer.",2012,true,true,2026-07-17
LUAD,CCDC6-RET,CCDC6,RET,PMID:22327623,"RET, ROS1 and ALK fusions in lung cancer.",2012,true,true,2026-07-17
LUAD,CD74-NRG1,CD74,NRG1,PMID:24469108,CD74-NRG1 fusions in lung adenocarcinoma.,2014,true,true,2026-07-17
LUAD,SLC3A2-NRG1,SLC3A2,NRG1,PMID:34743207,Oncogenic KRAS promotes growth of lung cancer cells expressing SLC3A2-NRG1 fusion via ADAM17-mediated shedding of NRG1.,2022,true,true,2026-07-17
LUAD,NTRK,,NTRK1,PMID:24162815,Oncogenic and drug-sensitive NTRK1 rearrangements in lung cancer.,2013,true,true,2026-07-17
PRAD,TMPRSS2-ERG,TMPRSS2,ERG,PMID:16254181,Recurrent fusion of TMPRSS2 and ETS transcription factor genes in prostate cancer.,2005,true,true,2026-07-17
PRAD,SLC45A3-ERG,SLC45A3,ERG,PMID:20118910,Prevalence of TMPRSS2-ERG and SLC45A3-ERG gene fusions in a large prostatectomy cohort.,2010,true,true,2026-07-17
PRAD,TMPRSS2-ETV1,TMPRSS2,ETV1,PMID:16254181,Recurrent fusion of TMPRSS2 and ETS transcription factor genes in prostate cancer.,2005,true,true,2026-07-17
PRAD,TMPRSS2-ETV4,TMPRSS2,ETV4,PMID:16585160,TMPRSS2:ETV4 gene fusions define a third molecular subtype of prostate cancer.,2006,true,true,2026-07-17
PRAD,TMPRSS2-ETV5,TMPRSS2,ETV5,PMID:18172298,Characterization of TMPRSS2:ETV5 and SLC45A3:ETV5 gene fusions in prostate cancer.,2008,true,true,2026-07-17
GBM,FGFR3-TACC3,FGFR3,TACC3,PMID:22837387,Transforming fusions of FGFR and TACC genes in human glioblastoma.,2012,true,true,2026-07-17
LGG,KIAA1549-BRAF,KIAA1549,BRAF,PMID:26083571,KIAA1549: BRAF Gene Fusion and FGFR1 Hotspot Mutations Are Prognostic Factors in Pilocytic Astrocytomas.,2015,true,true,2026-07-17
LGG,FGFR3-TACC3,FGFR3,TACC3,PMID:28976058,Diffuse gliomas with FGFR3-TACC3 fusion have characteristic histopathological and molecular features.,2018,true,true,2026-07-17
ASTB,MN1-BEND2,MN1,BEND2,PMID:36366964,Recurrent high-grade astroblastoma with MN1-BEND2 fusion in spinal cord and literature review.,2023,true,true,2026-07-17
CHOL,FGFR2-BICC1,FGFR2,BICC1,PMID:31807010,FGFR2-BICC1: A Subtype Of FGFR2 Oncogenic Fusion Variant In Cholangiocarcinoma And The Response To Sorafenib.,2019,true,true,2026-07-17
CHOL,FGFR2-AHCYL1,FGFR2,AHCYL1,PMID:24122810,Fibroblast growth factor receptor 2 tyrosine kinase fusions define a unique molecular subtype of cholangiocarcinoma.,2014,true,true,2026-07-17
LIHC,DNAJB1-PRKACA,DNAJB1,PRKACA,PMID:24578576,Detection of a recurrent DNAJB1-PRKACA chimeric transcript in fibrolamellar hepatocellular carcinoma.,2014,true,true,2026-07-17
BRCA,ETV6-NTRK3,ETV6,NTRK3,PMID:12450792,Expression of the ETV6-NTRK3 gene fusion as a primary event in human secretory breast carcinoma.,2002,true,true,2026-07-17
SARC_RMS_ARMS,PAX-FOXO/alt,PAX3,NCOA1,PMID:19953635,Recurrent t(2;2) and t(2;8) translocations in rhabdomyosarcoma without the canonical PAX-FOXO1 fuse PAX3 to members of the nuclear receptor transcriptional coactivator family.,2010,true,true,2026-07-17
SARC_RMS_ARMS,PAX-FOXO/alt,PAX3,NCOA2,PMID:19953635,Recurrent t(2;2) and t(2;8) translocations in rhabdomyosarcoma without the canonical PAX-FOXO1 fuse PAX3 to members of the nuclear receptor transcriptional coactivator family.,2010,true,true,2026-07-17
SARC_RMS_SSRMS,FET-TFCP2,EWSR1,TFCP2,PMID:32556562,Epithelioid and spindle cell rhabdomyosarcoma with FUS-TFCP2 or EWSR1-TFCP2 fusion: report of two cases.,2020,true,true,2026-07-17
SARC_RMS_SSRMS,FET-TFCP2,FUS,TFCP2,PMID:32556562,Epithelioid and spindle cell rhabdomyosarcoma with FUS-TFCP2 or EWSR1-TFCP2 fusion: report of two cases.,2020,true,true,2026-07-17
SARC_RMS_SSRMS,NCOA2-fusion,SRF,NCOA2,PMID:23463663,Recurrent NCOA2 gene rearrangements in congenital/infantile spindle cell rhabdomyosarcoma.,2013,true,true,2026-07-17
SARC_CIC,CIC-DUX4,CIC,DUX4,PMID:16717057,Fusion between CIC and DUX4 up-regulates PEA3 family genes in Ewing-like sarcomas with t(4;19)(q35;q13) translocation.,2006,true,true,2026-07-17
SARC_CIC,CIC-FOXO4,CIC,FOXO4,PMID:25007147,A novel CIC-FOXO4 gene fusion in undifferentiated small round cell sarcoma: a genetically distinct variant of Ewing-like sarcoma.,2014,true,true,2026-07-17
